Line,AG_ALARM,AG_CHG,AG_CHG_OK,AG_CONFIDENCE,AG_DEV,AG_DUPLICATES_GROUP,AG_I_TOO_HIGH_ALARM,AG_M_SD_ALARM,AG_M_TOLERANCE_ALARM,AG_M_TOO_HIGH_ALARM,AG_M_TOO_LOW_ALARM,AG_NORMALIZED_IP[0],AG_NORMALIZED_IP[1],AG_NORMALIZED_IP[2],AG_NORMALIZED_IP[3],AG_NORMALIZED_IP[4],AG_NORMALIZED_IP[5],AG_NORMALIZED_IP[6],AG_NORMALIZED_IP[7],AG_NORMALIZED_IP[8],AG_NORMALIZED_IP[9],AG_NORMALIZED_IP[10],AG_NORMALIZED_IP[11],AG_NORMALIZED_IP[12],AG_NORMALIZED_IP[13],AG_NORMALIZED_IP[14],AG_NORMALIZED_IP[15],AG_NORMALIZED_IP[16],AG_NORMALIZED_IP[17],AG_NORMALIZED_IP[18],AG_NORMALIZED_IP[19],AG_RS_TOO_HIGH_ALARM,AG_VALID_WINDOWS_COUNT,AG_VP_TOO_LOW_ALARM,Chg,ColeM,ColeRMS,ColeTau,Date,DayTime,I,IP[0],IP[1],IP[2],IP[3],IP[4],IP[5],IP[6],IP[7],IP[8],IP[9],IP[10],IP[11],IP[12],IP[13],IP[14],IP[15],IP[16],IP[17],IP[18],IP[19],IP_Avg,MF,N,Name,Overload,Q,QC,QC_IP,QC_RES,R1X,R1Y,R1Z,R2X,R2Y,R2Z,ResCalc,ResMeas,RsCheck,RxBat,Sp,Stack,Stn,T1X,T1Y,T1Z,T2X,T2Y,T2Z,Temp,Time,Topo,TxBat,Type,Vp,X,Y,Z
LGrid5,1,7.14194965362549,0,15,0.758897244930267,0,0,0,1,0,0,23.493537902832,22.2173194885254,21.1440315246582,19.6534061431885,18.5604667663574,17.328519821167,16.2003517150879,15.1544303894043,14.2939367294312,13.3306941986084,12.5080242156982,11.6060409545898,10.7230844497681,9.86656475067139,9.03794574737549,8.27487468719482,7.46902704238892,6.6757960319519,5.90792894363403,5.13823556900024,0,3,0,18.7621917724609,0,0,0,2020.60928961749,10.2327777777778,1.1016263961792,41.9527473449707,34.7145614624023,29.3667087554932,25.1966743469238,21.8358421325684,19.042329788208,16.7013931274414,14.7130393981934,12.9944877624512,11.4919776916504,10.1691255569458,8.9969310760498,7.94302558898926,6.99756383895874,6.14826202392578,5.37329530715942,4.66814184188843,4.02156400680542,3.43484234809875,2.88664937019348,14.4324581384659,2.47467563994802,94.04,9999,0,0.218635573983192,1,1,1,5165622,536597,0,5165571,536600,0,5832.06053572703,5832.05859375,3.76229190826416,15.3999996185303,1.3329359292984,146,534246,5163848,531895,0,5165575,536550,0,22,1000,,0,0,-5001.0830078125,5163848,536573.5,-2351
LGrid5,0,11.2656002044678,1,100,0.218393549323082,0,0,0,0,0,0,9.592529296875,9.63094615936279,9.70895576477051,9.54534149169922,9.51853656768799,9.40263652801514,9.32900142669678,9.26802253723145,9.30542659759521,9.25344467163086,9.28960990905762,9.24774646759033,9.22049713134766,9.19169902801514,9.1518087387085,9.19231986999512,9.16114139556885,9.13517475128174,9.11928558349609,9.09816455841064,0,20,0,11.465368270874,0,0,0,2020.60928961749,10.2327777777778,1.98397159576416,17.1295166015625,15.0483541488647,13.4846601486206,12.2376174926758,11.1982774734497,10.3325672149658,9.61752700805664,8.99808025360107,8.4594783782959,7.97710752487183,7.55252838134766,7.16879558563232,6.82999801635742,6.5189356803894,6.22571992874146,5.96903896331787,5.72571325302124,5.50311756134033,5.30191040039063,5.11132860183716,8.819513630867,0.645268596720838,94.04,9999,0,0.0493050590157509,1,1,1,5165622,536597,0,5165571,536600,0,13667.9728033977,13667.9853515625,3.76229190826416,15.3999996185303,7.88541030883789,145,534246,5163848,531895,0,5165575,536700,0,22,1000,,0,0,-5001.0830078125,5163848,534247.5,-50
LGrid5,0,31.0741996765137,1,100,0.177888453006744,0,0,0,0,0,0,25.2294883728027,25.5893459320068,26.0000667572021,25.7515430450439,25.8881683349609,25.7505016326904,25.645133972168,25.5735111236572,25.7448139190674,25.6857128143311,25.8403301239014,25.7859725952148,25.7351016998291,25.6967277526855,25.6487979888916,25.7767448425293,25.7390632629395,25.6956405639648,25.6572818756104,25.6140365600586,0,20,0,31.3998584747314,0,0,0,2020.60382513661,12.0308333333333,1.29401779174805,45.0526580810547,39.9833526611328,36.1112022399902,33.0148010253906,30.4566688537598,28.2972545623779,26.4382820129395,24.8286514282227,23.4043750762939,22.1428565979004,21.0083980560303,19.9891262054443,19.0630378723145,18.224630355835,17.4481620788574,16.7381458282471,16.0869140625,15.4793014526367,14.9170236587524,14.3899087905884,24.1537375450134,3.6052193850152,,9999,0,0.260746121406555,1,1,1,5165833,536311,0,5165785,536311,0,6699.65818041655,6699.658203125,7.95804882049561,16.6000003814697,67.5536041259766,146,534103,5163848,531895,0,5165725,536250,0,26,1000,,0,0,-5000.8076171875,5163848,536280.5,-2208
LGrid5,0,16.7178020477295,1,100,0.160392835736275,0,0,0,0,0,0,13.8365345001221,13.9828586578369,14.1634197235107,13.988844871521,14.0302047729492,13.9248418807983,13.845911026001,13.7805032730103,13.8519430160522,13.8004713058472,13.8658142089844,13.8204135894775,13.7769575119019,13.7396469116211,13.7031345367432,13.7562685012817,13.7216997146606,13.6887826919556,13.6545066833496,13.6231021881104,0,20,0,16.9466819763184,0,0,0,2020.60382513661,10.1630555555556,1.05129981040955,24.7080974578857,21.848217010498,19.6714153289795,17.9344177246094,16.5061225891113,15.3020238876343,14.2741346359253,13.37912940979,12.5926752090454,11.8969583511353,11.2730197906494,10.7134990692139,10.205153465271,9.74443054199219,9.32186031341553,8.93264198303223,8.57606220245361,8.24625492095947,7.93866682052612,7.65342855453491,13.0359104633331,5.51212874128276,85.12,9999,0,0.660456836223602,1,1,1,5165783,536151,0,5165777,536206,0,2364.95028965878,2364.94995117188,7.94577217102051,16.6000003814697,44.2259788513184,146,534023,5163848,531895,0,5165775,536250,0,25,1000,,0,0,-5000.8076171875,5163848,534050.5,-22
LGrid5,0,26.5105171203613,1,100,0.206632688641548,0,0,0,0,0,0,21.3088150024414,21.6697578430176,22.0616207122803,21.8814182281494,22.0251922607422,21.9290580749512,21.8642196655273,21.8153018951416,21.9788551330566,21.937068939209,22.0838661193848,22.0460472106934,22.014497756958,21.9838237762451,21.9511165618896,22.0625667572021,22.031177520752,22.0003757476807,21.9702224731445,21.9378280639648,0,20,0,26.7507133483887,0,0,0,2020.60382513661,12.0308333333333,1.05129981040955,38.051456451416,33.8589973449707,30.6411380767822,28.0531024932861,25.9119892120361,24.0978660583496,22.5404319763184,21.1799049377441,19.9807777404785,18.9112663269043,17.9543628692627,17.0899600982666,16.307035446167,15.5913648605347,14.932731628418,14.3263425827026,13.7694854736328,13.2532386779785,12.7733850479126,12.3246231079102,20.5774730205536,2.9579630600016,,9999,0,0.703030347824097,1,1,1,5165833,536311,0,5165785,536311,0,6956.63624025869,6956.63916015625,7.95804882049561,16.6000003814697,55.7920112609863,146,534103,5163848,531895,0,5165775,536250,0,26,1000,,0,0,-5000.8076171875,5163848,536280.5,-2208
LGrid5,0,34.7048721313477,1,100,0.201576948165894,0,0,0,0,0,0,28.1885871887207,28.5992221832275,29.0586681365967,28.7790031433105,28.9315185546875,28.7755355834961,28.6603908538818,28.5743274688721,28.7594966888428,28.6875381469727,28.8629264831543,28.7995204925537,28.7390327453613,28.6858081817627,28.6314945220947,28.7715702056885,28.7230739593506,28.6765937805176,28.628734588623,28.5756149291992,0,20,0,35.0746841430664,0,0,0,2020.60382513661,12.0308333333333,2.477618932724,50.3367614746094,44.6862869262695,40.359260559082,36.8961601257324,34.0370788574219,31.621467590332,29.5467929840088,27.7420654296875,26.1449966430664,24.7306365966797,23.4657936096191,22.3252105712891,21.2881717681885,20.3445453643799,19.4772071838379,18.6828384399414,17.9519214630127,17.2750568389893,16.6446132659912,16.0537166595459,26.9805291175842,4.35090461931188,,9999,0,0.148168936371803,1,1,1,5165833,536311,0,5165785,536311,0,6201.13090915133,6201.13134765625,7.95804882049561,16.6000003814697,64.8240814208984,146,534103,5163848,531895,0,5165675,536250,0,26,1000,,0,0,-5000.8076171875,5163848,536280.5,-2208
LGrid5,0,20.2815074920654,1,100,0.327759832143784,0,0,0,0,0,0,17.0194683074951,17.1620559692383,17.3517036437988,17.1089115142822,17.1314907073975,16.9793701171875,16.857873916626,16.754524230957,16.8198909759521,16.7363109588623,16.7966728210449,16.7209873199463,16.6498394012451,16.5860176086426,16.5261058807373,16.57155418396,16.5136852264404,16.4565105438232,16.4085350036621,16.3572998046875,0,20,0,20.6115417480469,0,0,0,2020.60382513661,10.1630555555556,1.03122639656067,30.3919067382813,26.8157119750977,24.099588394165,21.9345016479492,20.1546936035156,18.6586475372314,17.3792514801025,16.266529083252,15.2908096313477,14.4278554916382,13.6558313369751,12.9620065689087,12.3332138061523,11.7631340026855,11.2422485351563,10.7607498168945,10.3210525512695,9.91356086730957,9.53984546661377,9.18949413299561,15.8550316333771,3.15374170128453,85.12,9999,0,0.403210490942001,1,1,1,5165783,536151,0,5165777,536206,0,5027.37165409559,5027.37060546875,7.94577217102051,16.6000003814697,44.7866744995117,146,534023,5163848,531895,0,5165825,536250,0,25,1000,,0,0,-5000.8076171875,5163848,534050.5,-22
LGrid5,0,30.3573799133301,1,100,1.50281882286072,0,0,0,0,0,0,26.9733905792236,27.0154266357422,27.1309986114502,26.5797233581543,26.4448890686035,26.0457229614258,25.7013072967529,25.3898906707764,25.3380889892578,25.0630264282227,25.0065078735352,24.7538356781006,24.5096530914307,24.2773609161377,24.0584545135498,23.996919631958,23.780252456665,23.573371887207,23.3738975524902,23.1772022247314,0,20,0,31.2112312316895,0,0,0,2020.60382513661,10.1630555555556,2.28240180015564,48.1667671203613,42.2116050720215,37.681941986084,34.0765686035156,31.1116333007813,28.6216735839844,26.4961929321289,24.6503791809082,23.0346260070801,21.6060581207275,20.330493927002,19.1890201568604,18.1552982330322,17.2179870605469,16.3662948608398,15.5824155807495,14.8626575469971,14.2008266448975,13.5894756317139,13.0209007263184,24.0086408138275,3.33402174204234,85.12,9999,0,0.155404254794121,1,1,1,5165783,536151,0,5165777,536206,0,7201.10505311835,7201.1044921875,7.94577217102051,16.6000003814697,71.8153457641602,146,534023,5163848,531895,0,5165875,536250,0,25,1000,,0,0,-5000.8076171875,5163848,534050.5,-22
LGrid5,0,18.1128044128418,1,100,0.119728527963161,0,0,0,0,0,0,14.6627473831177,14.9038972854614,15.1637287139893,15.029637336731,15.1125507354736,15.035457611084,14.9757986068726,14.9289379119873,15.0292482376099,14.9891777038574,15.0761709213257,15.0393390655518,15.0078315734863,14.9748840332031,14.9419403076172,15.0120515823364,14.9814929962158,14.9542741775513,14.9198341369629,14.8938331604004,0,20,0,18.3039474487305,0,0,0,2020.60382513661,10.1630555555556,1.79146289825439,26.1834774017334,23.2873401641846,21.060733795166,19.2687664031982,17.7794704437256,16.5224800109863,15.4389667510986,14.4941148757935,13.6629524230957,12.9217052459717,12.2570495605469,11.6584024429321,11.1169118881226,10.6204853057861,10.1645851135254,9.74808597564697,9.36343288421631,9.00859928131104,8.6743221282959,8.36732196807861,14.0799602031708,0.563447625553523,85.12,9999,0,0.0923908650875092,1,1,1,5165783,536151,0,5165777,536206,0,24988.9422984768,24988.939453125,7.94577217102051,16.6000003814697,54.2886581420898,146,534023,5163848,531895,0,5165925,536250,0,25,1000,,0,0,-5000.8076171875,5163848,534050.5,-22
LGrid5,0,24.8144264221191,1,100,0.831371486186981,0,0,0,0,0,0,18.9474411010742,19.3956031799316,19.8644981384277,19.8166561126709,20.0613040924072,20.0800952911377,20.1249160766602,20.1836967468262,20.4360504150391,20.5012378692627,20.7376174926758,20.8038578033447,20.8687400817871,20.9365501403809,21.0052032470703,21.215518951416,21.2807674407959,21.3451271057129,21.4120006561279,21.4782104492188,0,20,0,24.7930736541748,0,0,0,2020.60655737705,10.1752777777778,1.50466620922089,33.834716796875,30.3056297302246,27.5895805358887,25.405969619751,23.6015338897705,22.0660381317139,20.74733543396,19.5958232879639,18.5782279968262,17.6734809875488,16.8598518371582,16.1270217895508,15.4583253860474,14.8486175537109,14.2892541885376,13.7763109207153,13.300479888916,12.8585109710693,12.4488372802734,12.0664100646973,19.0715978145599,1.59953205313509,,9999,0,0.152902618050575,1,1,1,5165833,536311,0,5165785,536311,0,11923.2357846031,11923.2353515625,8.70514106750488,16.3999996185303,28.1032409667969,146,534103,5163848,531895,0,5165775,536400,0,24,1000,,0,0,-5000.8076171875,5163848,534103,-44.5
