Line,AG_ALARM,AG_CHG,AG_CHG_OK,AG_CONFIDENCE,AG_DEV,AG_DUPLICATES_GROUP,AG_I_TOO_HIGH_ALARM,AG_M_SD_ALARM,AG_M_TOLERANCE_ALARM,AG_M_TOO_HIGH_ALARM,AG_M_TOO_LOW_ALARM,AG_NORMALIZED_IP[0],AG_NORMALIZED_IP[1],AG_NORMALIZED_IP[2],AG_NORMALIZED_IP[3],AG_NORMALIZED_IP[4],AG_NORMALIZED_IP[5],AG_NORMALIZED_IP[6],AG_NORMALIZED_IP[7],AG_NORMALIZED_IP[8],AG_NORMALIZED_IP[9],AG_NORMALIZED_IP[10],AG_NORMALIZED_IP[11],AG_NORMALIZED_IP[12],AG_NORMALIZED_IP[13],AG_NORMALIZED_IP[14],AG_NORMALIZED_IP[15],AG_NORMALIZED_IP[16],AG_NORMALIZED_IP[17],AG_NORMALIZED_IP[18],AG_NORMALIZED_IP[19],AG_RS_TOO_HIGH_ALARM,AG_VALID_WINDOWS_COUNT,AG_VP_TOO_LOW_ALARM,Chg,ColeM,ColeRMS,ColeTau,Date,DayTime,I,IP[0],IP[1],IP[2],IP[3],IP[4],IP[5],IP[6],IP[7],IP[8],IP[9],IP[10],IP[11],IP[12],IP[13],IP[14],IP[15],IP[16],IP[17],IP[18],IP[19],IP_Avg,MF,N,Name,Overload,Q,QC,QC_IP,QC_RES,R1X,R1Y,R1Z,R2X,R2Y,R2Z,ResCalc,ResMeas,RsCheck,RxBat,Sp,Stack,Stn,T1X,T1Y,T1Y_SEQUENCE,T1Z,T2X,T2Y,T2Z,Temp,Time,Topo,TxBat,Type,Vp,X,Y,Z
L4400375,0,1.77939963340759,1,100,0.116323217749596,0,0,0,0,0,0,2.14399027824402,2.10863375663757,2.0965268611908,2.03086042404175,2.00115609169006,2.04877161979675,2.07533502578735,1.89982664585114,1.87021207809448,1.8912900686264,1.86114621162415,1.83284878730774,1.86776745319366,1.83953440189362,1.80868446826935,1.77667534351349,1.77879452705383,1.77878570556641,1.77038085460663,1.78543508052826,0,20,0,1.71031499862671,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,3.8285539150238,3.29474020004272,2.91184282302856,2.60366725921631,2.35430121421814,2.25139737129211,2.1395206451416,1.84449195861816,1.70019280910492,1.6304224729538,1.51312696933746,1.42081308364868,1.38353145122528,1.30463433265686,1.23039758205414,1.1536853313446,1.11174654960632,1.07155764102936,1.0292911529541,1.00305342674255,1.83904840946198,0.971438263563058,1.5,W:\P\E710,0,0.0286467578262091,1,1,1,4400,-1225,,4400,-1187.5,,1893.11918054029,1514.46398925781,11.324987411499,12.7086639404297,-53.2449760437012,8,-1253.125,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,2785.28686523438,4400375,-1234.375,-9.375
L4400375,0,1.77477240562439,1,100,0.131076082587242,0,0,0,0,0,0,2.20220613479614,2.14114904403687,2.12501168251038,2.06038022041321,2.00506401062012,2.05284595489502,1.99768793582916,1.87553811073303,1.8421037197113,1.89531600475311,1.87406647205353,1.79594361782074,1.86258018016815,1.82941401004791,1.78897845745087,1.75027012825012,1.76750457286835,1.74920213222504,1.75107157230377,1.8008120059967,0,20,0,1.71163528561592,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,3.9325110912323,3.34554553031921,2.95140504837036,2.64151334762573,2.35889863967896,2.25587463378906,2.05947208404541,1.82091081142426,1.67463970184326,1.63389313220978,1.52363121509552,1.39220440387726,1.37968897819519,1.29745674133301,1.21699213981628,1.13653910160065,1.10469031333923,1.05373620986938,1.01806485652924,1.01169216632843,1.84046800732613,0.895502762108883,2.5,W:\P\E710,0,0.0152622070163488,1,1,1,4400,-1187.5,,4400,-1150,,2055.23431663335,2818.46826171875,19.8568706512451,12.7086639404297,8.52134609222412,8,-1234.375,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,1295.87805175781,4400375,-1215.625,-28.125
L4400375,0,2.23090386390686,1,100,0.124577976763248,0,0,0,0,0,0,2.57340097427368,2.5749249458313,2.60541582107544,2.55716705322266,2.50536012649536,2.60010433197021,2.52211022377014,2.36457133293152,2.32481074333191,2.42258501052856,2.40596771240234,2.29897904396057,2.4005708694458,2.32074427604675,2.28033208847046,2.24137377738953,2.25559115409851,2.19181060791016,2.23902559280396,2.29157948493958,0,20,0,2.13465162277222,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,4.59535884857178,4.02332019805908,3.61863303184509,3.27841949462891,2.9474823474884,2.85725736618042,2.6001136302948,2.29570031166077,2.11346435546875,2.08843541145325,1.95607125759125,1.78215444087982,1.77820062637329,1.64591801166534,1.55124628543854,1.455437541008,1.4097443819046,1.32036781311035,1.3017590045929,1.28740417957306,2.29532442688942,1.4863536983793,3.5,W:\P\E710,0,0.0180598068982363,1,1,1,4400,-1150,,4400,-1112.5,,1544.26529122389,2941.1923828125,27.4400062561035,12.7086639404297,-60.1885261535645,8,-1215.625,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,540.921569824219,4400375,-1196.875,-46.875
L4400375,0,1.94724357128143,1,100,0.0739587694406509,0,0,0,0,0,0,2.23295855522156,2.16822171211243,2.18519926071167,2.12828898429871,2.06382465362549,2.19608902931213,2.21994042396545,2.05779623985291,2.00981640815735,2.13804721832275,2.13107991218567,2.01335716247559,2.12897801399231,2.1070020198822,2.03904795646667,1.97724103927612,2.00503778457642,1.9689621925354,2.02304410934448,2.08227205276489,0,20,0,1.84873981118202,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,3.98742580413818,3.38784646987915,3.03499889373779,2.72857570648193,2.42802906036377,2.41328454017639,2.28859829902649,1.99786043167114,1.82710576057434,1.8431441783905,1.73258519172668,1.56074202060699,1.57702076435089,1.49432766437531,1.38710749149323,1.28392279148102,1.25314855575562,1.1861218214035,1.17618846893311,1.1698157787323,1.98789248466492,0.630034688735747,4.5,W:\P\E710,0,0.105821937322617,1,1,1,4400,-1112.5,,4400,-1075,,3155.21116568026,7647.88134765625,24.5541763305664,12.7086639404297,-47.6074409484863,8,-1196.875,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,703.270629882813,4400375,-1178.125,-65.625
L4400375,0,1.281090259552,1,100,0.186651512980461,0,0,0,0,0,0,1.65506565570831,1.63447296619415,1.68049073219299,1.67930674552917,1.65660917758942,1.62933087348938,1.50864613056183,1.36354553699493,1.32044351100922,1.31263339519501,1.29655981063843,1.28227818012238,1.24417817592621,1.21822512149811,1.21148610115051,1.2288361787796,1.21948230266571,1.07590937614441,1.16516387462616,1.16766333580017,0,20,0,1.26230744361877,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,2.95547437667847,2.55386400222778,2.33401489257813,2.15295743942261,1.94895195960999,1.79047346115112,1.55530524253845,1.32383060455322,1.20040321350098,1.13158059120178,1.0541136264801,0.994014084339142,0.921613454818726,0.863989472389221,0.824140191078186,0.797945618629456,0.762176394462585,0.648138165473938,0.677420854568481,0.655990660190582,1.35731991529465,0.410170469729992,5.5,W:\P\E710,0,0.163620486855507,1,1,1,4400,-1075,,4400,-1037.5,,3309.16049658121,9717.1494140625,13.5906620025635,12.7086639404297,104.640121459961,8,-1178.125,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,510.600524902344,4400375,-1159.375,-84.375
L4400375,0,0.802617311477661,1,100,0.254808455705643,0,0,0,0,0,0,1.35813546180725,1.26999294757843,1.27362406253815,1.22984027862549,1.17119908332825,0.898764967918396,0.901017785072327,0.963958024978638,0.934120833873749,0.763591527938843,0.732354819774628,0.907424509525299,0.598030269145966,0.62042236328125,0.6812664270401,0.815682709217072,0.66691255569458,0.378165811300278,0.616160809993744,0.479921579360962,0,20,0,0.834231022596359,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,2.42524194717407,1.98436403274536,1.76892220973969,1.5767183303833,1.37788128852844,0.987653791904449,0.928884267807007,0.935881614685059,0.84920072555542,0.658268570899963,0.595410406589508,0.703429877758026,0.442985355854034,0.440015882253647,0.46344655752182,0.529664099216461,0.416820347309113,0.227810740470886,0.358233034610748,0.26961886882782,0.897022597491741,0.252129112850505,6.5,W:\P\E710,0,0.0920775979757309,1,1,1,4400,-1037.5,,4400,-1000,,3557.79063889227,12257.0341796875,13.5637893676758,12.7086639404297,-105.083572387695,8,-1159.375,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,402.5400390625,4400375,-1140.625,-103.125
L4400375,0,-0.380295366048813,1,100,0.200529962778091,0,0,0,0,0,0,-0.151179268956184,-0.231664329767227,-0.13936822116375,-0.145116209983826,-0.147860780358315,-0.549562513828278,-0.541769087314606,-0.234791323542595,-0.268325090408325,-0.492848128080368,-0.583745360374451,-0.266053557395935,-0.646048665046692,-0.564829528331757,-0.46144688129425,-0.242016091942787,-0.328683793544769,-0.8259556889534,-0.538645267486572,-0.81848555803299,0,20,0,-0.313954855799675,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,-0.269962966442108,-0.361975520849228,-0.193566963076591,-0.186046436429024,-0.173953860998154,-0.603914856910706,-0.558524787425995,-0.227952748537064,-0.243931889533997,-0.42486909031868,-0.474589705467224,-0.206243067979813,-0.478554546833038,-0.40058833360672,-0.313909441232681,-0.157153308391571,-0.2054273635149,-0.497563660144806,-0.313165843486786,-0.459823369979858,-0.337585888057947,-0.152389532607176,7.5,W:\P\E710,0,0.0372462496161461,1,1,1,4400,-1000,,4400,-962.5,,2215.28265283262,8753.4375,16.7704105377197,12.7086639404297,22.9125690460205,8,-1140.625,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,191.650283813477,4400375,-1121.875,-121.875
L4400375,0,-1.46896088123322,1,100,0.154998883605003,0,0,0,0,0,0,-1.55564093589783,-1.67814815044403,-1.53451991081238,-1.5278422832489,-1.4937664270401,-1.67327833175659,-1.68424987792969,-1.53403103351593,-1.57895159721375,-1.72191274166107,-1.48164081573486,-1.17501771450043,-1.37761914730072,-1.56359112262726,-1.67690360546112,-1.44457769393921,-1.46873307228088,-2.04042267799377,-1.69792544841766,-1.68178558349609,0,20,0,-1.37800345301628,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,-2.77793025970459,-2.62210655212402,-2.13127756118774,-1.9587721824646,-1.75737226009369,-1.83876740932465,-1.73634004592896,-1.48935055732727,-1.43541049957275,-1.48440754413605,-1.20458602905273,-0.910866439342499,-1.02045857906342,-1.10892987251282,-1.14075076580048,-0.93803745508194,-0.91795814037323,-1.22917032241821,-0.987165927886963,-0.944823384284973,-1.48172408938408,-1.42739390972544,8.5,W:\P\E710,0,0.165018111467361,1,1,1,4400,-962.5,,4400,-925,,1038.06249927821,4625.53173828125,12.9174318313599,12.7086639404297,-34.7716827392578,8,-1121.875,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,70.8911056518555,4400375,-1103.125,-140.625
L4400375,0,-1.07771039009094,1,100,0.142089828848839,0,0,0,0,0,0,-1.21752071380615,-1.32399499416351,-1.19018030166626,-1.01734137535095,-1.14151608943939,-1.10132741928101,-1.446417927742,-1.332390666008,-1.38908278942108,-1.30261862277985,-1.04432320594788,-1.07838487625122,-1.10002672672272,-1.13044559955597,-1.09599006175995,-1.13223671913147,-1.14019119739532,-1.27681756019592,-0.881291449069977,-0.834467828273773,0,20,0,-1.03086875081062,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,-2.17414402961731,-2.06874227523804,-1.65302813053131,-1.30428385734558,-1.34296000003815,-1.21024990081787,-1.49115240573883,-1.29358315467834,-1.26280248165131,-1.12294709682465,-0.849043250083923,-0.835957288742065,-0.814834594726563,-0.801734507083893,-0.745571494102478,-0.735218644142151,-0.712619483470917,-0.769167184829712,-0.512378752231598,-0.468802154064178,-1.10846103429794,-0.653342193680908,9.5,W:\P\E710,0,0.0882945656776428,1,1,1,4400,-925,,4400,-887.5,,1696.60102319875,8413.818359375,6.63223314285278,12.7086639404297,220.161987304688,8,-1103.125,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,93.7822570800781,4400375,-1084.375,-159.375
L4400375,0,-0.0826670676469803,1,100,0.191459983587265,0,0,0,0,0,0,0.148499846458435,0.00266358722001314,0.228482291102409,0.28758642077446,0.0716415494680405,0.188692450523376,-0.0164663512259722,-0.116636477410793,-0.276554256677628,-0.274036526679993,-0.143870547413826,-0.11237508803606,-0.126532465219498,-0.123397752642632,-0.263100147247314,-0.185020700097084,-0.238647744059563,-0.624063670635223,-0.162137523293495,-0.042513333261013,0,20,0,-0.0324823276698589,0,0,0,2023.41095890411,08:59:44.0,1.29999995231628,0.265178292989731,0.00416185520589352,0.31733649969101,0.368700563907623,0.084284171462059,0.207354336977005,-0.0169756188988686,-0.113239303231239,-0.251412957906723,-0.236238390207291,-0.116967923939228,-0.0871124714612961,-0.0937277525663376,-0.0875161364674568,-0.178979694843292,-0.120143316686153,-0.149154841899872,-0.37594199180603,-0.0942659974098206,-0.0238838959485292,-0.0349272286519408,-0.0208557215407459,10.5,W:\P\E710,0,0.0770818442106247,1,1,1,4400,-887.5,,4400,-850,,1674.7072779862,9146.4609375,0.528546094894409,12.7086639404297,9.20548820495605,8,-1084.375,4400,-1281.25,-1262.5,,4400,-2700,,25.0439891815186,1000,,0,0,76.4612274169922,4400375,-1065.625,-178.125
